CATEGORYID,USESTATUS_LAST_ID,P_MANUFACTURERID,DATEMANUFACTURE,NATIONALFACT,OWNER,LOAI_TBI,KIEU_LBS,TTKN,CTSC,KIEU_DHQ,MT_CD,UDM,IDM,DBDATSCN,KCRTT,SCKTTDC,KNGSDK,DB_DA_XUNG,I_CATNM_DM,VLBS,KIEU_DK
0022D00_LBS,USING,HSX.00046,2003,TB040.00016,TB0632,TBI_TT_LBS_LOAI.4,PB-501424,PB-501427,EVN.KO,PE-2163,PE-2165,TBI_TT_FCO_UDM.6,PB-500012,50,PB-500049,1000,PE-2169,125,TBI_TT_KNCDNM.00011,PB-500062,TBI_TT_CC_DK.00002
0022D00_LBS,USING,HSX.00302,2015,TB040.00141,TB0632,TBI_TT_LBS_LOAI.17,PB-501424,PB-501427,EVN.KO,PE-2163,PE-2165,TBI_TT_FCO_UDM.6,PB-500012,50,PB-500047,1000,PE-2169,125,TBI_TT_KNCDNM.00028,PB-500062,TBI_TT_CC_DK.00002
0022D00_LBS,RETIRE,HSX.00302,2010,TB040.00141,TB0632,TBI_TT_LBS_LOAI.19,PB-501424,PB-501427,EVN.KO,PE-2164,TBI_TT_LBS_MTCD.00003,TBI_TT_FCO_UDM.9,PB-500012,50,PB-500047,10000,PE-2169,125,TBI_TT_KNCDNM.00008,PB-500064,TBI_TT_CC_DK.00002
0022D00_LBS,USING,HSX.00035,2014,TB040.00141,TB0632,TBI_TT_LBS_LOAI.23,PB-501424,PB-501427,EVN.KO,PE-2163,PE-2165,TBI_TT_FCO_UDM.6,PB-500012,25kA,PB-500049,2,PE-2169,125,TBI_TT_KNCDNM.00011,PB-500064,TBI_TT_CC_DK.00002
0022D00_LBS,USING,HSX.00375,2016,TB040.00141,TB0632,TBI_TT_LBS_LOAI.21,PB-501424,PB-501427,EVN.KO,PE-2164,PE-2165,TBI_TT_FCO_UDM.9,PB-500012,50,PB-500049,15,PE-2168,125,TBI_TT_KNCDNM.00011,PB-500062,TBI_TT_CC_DK.00003
0022D00_LBS,USING,HSX.00375,2010,TB040.00141,TB0632,TBI_TT_LBS_LOAI.17,PB-501424,PB-501427,EVN.KO,PE-2163,PE-2165,TBI_TT_FCO_UDM.6,PB-500012,50,PB-500049,5000,PE-2169,125,TBI_TT_KNCDNM.00011,PB-500064,TBI_TT_CC_DK.00002
0022D00_LBS,USING,HSX.00307,2010,TB040.00001,TB0632,TBI_TT_LBS_LOAI.22,PB-501424,PB-501427,EVN.KO,PE-2163,PE-2165,TBI_TT_FCO_UDM.6,PB-500012,50,PB-500049,8,PE-2169,125,TBI_TT_KNCDNM.00008,PB-500064,TBI_TT_CC_DK.00003
0022D00_LBS,RETIRE,HSX.00375,2007,TB040.00141,TB0632,TBI_TT_LBS_LOAI.16,PB-501424,PB-501427,EVN.KO,PE-2163,PE-2165,TBI_TT_FCO_UDM.6,PB-500012,50,PB-500049,10000,PE-2169,125,TBI_TT_KNCDNM.00011,PB-500064,TBI_TT_CC_DK.00002
0022D00_LBS,TVH,HSX.00035,2004,TB040.00012,TB0632,TBI_TT_LBS_LOAI.14,PB-501424,PB-501427,EVN.KO,PE-2163,PE-2165,TBI_TT_FCO_UDM.9,PB-500012,50,PB-500049,10000,PE-2169,125,TBI_TT_KNCDNM.00011,PB-500062,TBI_TT_CC_DK.00002
0022D00_LBS,USING,HSX.00302,2016,TB040.00141,TB0632,TBI_TT_LBS_LOAI.18,PB-501424,PB-501427,EVN.KO,PE-2163,PE-2165,TBI_TT_FCO_UDM.6,PB-500012,50 kV,PB-500049,1000,PE-2169,125 kV,TBI_TT_KNCDNM.00011,PB-500062,TBI_TT_CC_DK.00003
0022D00_LBS,HH,HSX.00375,2005,TB040.00141,TB0632,TBI_TT_LBS_LOAI.16,PB-501424,PB-501427,EVN.KO,PE-2163,PE-2165,TBI_TT_FCO_UDM.6,PB-500012,50,PB-500049,10000,PE-2169,125,TBI_TT_KNCDNM.00035,PB-500062,TBI_TT_CC_DK.00002
0022D00_LBS,USING,HSX.00302,2013,TB040.00141,TB0632,TBI_TT_LBS_LOAI.17,PB-501424,PB-501427,EVN.KO,PE-2163,PE-2165,TBI_TT_FCO_UDM.6,PB-500012,50,PB-500049,5000,PE-2169,125,TBI_TT_KNCDNM.00011,PB-500062,TBI_TT_CC_DK.00002
0022D00_LBS,USING,HSX.00046,2003,TB040.00016,TB0632,TBI_TT_LBS_LOAI.4,PB-501424,PB-501427,EVN.KO,PE-2163,PE-2165,TBI_TT_FCO_UDM.6,PB-500012,50,PB-500049,1000,PE-2169,125,TBI_TT_KNCDNM.00011,PB-500062,TBI_TT_CC_DK.00002
0022D00_LBS,USING,HSX.00290,2017,TB040.00001,TB0632,TBI_TT_LBS_LOAI.19,PB-501424,PB-501427,EVN.KO,PE-2163,PE-2165,TBI_TT_FCO_UDM.9,PB-500012,50,PB-500049,1,PE-2169,125,TBI_TT_KNCDNM.00011,PB-500062,TBI_TT_CC_DK.00002
0022D00_LBS,USING,HSX.00051,2012,TB040.00141,TB0631,TBI_TT_LBS_LOAI.16,PB-501424,PB-501427,EVN.KO,PE-2163,PE-2165,TBI_TT_FCO_UDM.6,PB-500012,50,PB-500047,1000,PE-2169,125,TBI_TT_KNCDNM.00011,PB-500062,TBI_TT_CC_DK.00002
0022D00_LBS,USING,HSX.00302,2007,TB040.00141,TB0632,TBI_TT_LBS_LOAI.17,PB-501424,PB-501427,EVN.KO,PE-2163,PE-2165,TBI_TT_FCO_UDM.6,PB-500012,50,PB-500047,10000,PE-2169,125,TBI_TT_KNCDNM.00008,PB-500064,TBI_TT_CC_DK.00002
0022D00_LBS,USING,HSX.00302,2016,TB040.00141,TB0632,TBI_TT_LBS_LOAI.17,PB-501424,PB-501427,EVN.KO,PE-2163,PE-2165,TBI_TT_FCO_UDM.6,PB-500012,50,PB-500047,10000,PE-2169,150,TBI_TT_KNCDNM.00036,PB-500062,TBI_TT_CC_DK.00003
0022D00_LBS,USING,HSX.00375,2002,TB040.00141,TB0632,TBI_TT_LBS_LOAI.23,PB-501424,PB-501426,EVN.CO,PE-2163,PE-2165,TBI_TT_FCO_UDM.6,PB-500012,50,PB-500049,100,PE-2169,125,TBI_TT_KNCDNM.00008,PB-500062,TBI_TT_CC_DK.00002
0022D00_LBS,USING,HSX.00046,2001,TB040.00016,TB0632,TBI_TT_LBS_LOAI.4,PB-501424,PB-501427,EVN.KO,PE-2163,PE-2165,TBI_TT_FCO_UDM.6,PB-500012,50,PB-500049,1000,PE-2169,125,TBI_TT_KNCDNM.00011,PB-500062,TBI_TT_CC_DK.00002
0022D00_LBS,USING,HSX.00180,2003,TB040.00012,TB0632,TBI_TT_LBS_LOAI.24,PB-501424,PB-501427,EVN.KO,PE-2207,PE-2206,TBI_TT_FCO_UDM.6,PB-500012,50,PB-500049,5000,PE-2168,125,TBI_TT_KNCDNM.00027,PB-500062,TBI_TT_CC_DK.00002
0022D00_LBS,USING,HSX.00035,2014,TB040.00012,TB0631,TBI_TT_LBS_LOAI.14,PB-501424,PB-501427,EVN.KO,PE-2163,PE-2165,TBI_TT_FCO_UDM.6,PB-500012,50,PB-500047,1,PE-2168,125,TBI_TT_KNCDNM.00011,PB-500062,TBI_TT_CC_DK.00003
