CATEGORYID,USESTATUS_LAST_ID,P_MANUFACTURERID,DATEMANUFACTURE,NATIONALFACT,OWNER,SLTD,PHA,IDM,UDM,KN_XS,KNCDNMDM,DBDATSCN,NCM,MaHieu,KIEU_DCL,R_TXMC,CDDRNN,KIEU_CD,KIEU_DAPHQ
0110D00_DCL,USING,HSX.00051,2007,TB040.00141,TB0632,TBI_CT_DCL_KIEU_DCL.50002,EVN.PHA_3P,PB-100024,PB-100044,PB-100062,PB-100048,PB-100056,DCL_TT_NTDCTDVDKDC_01,TBI_CT_LOAI_DCL.00034,PB-500842,NULL,DCL_TT_CDDRNNQBMCD_01,TBI_TT_DCL_KIEU_CD.10001,TBI_TT_DCL_Bo_truyen_dong_03
0110D00_DCL,USING,HSX.00051,2014,TB040.00141,TB0632,TBI_CT_DCL_KIEU_DCL.50001,EVN.PHA_3P,PB-100024,PB-100044,PB-100062,PB-100048,PB-100056,DCL_TT_NTDCTDVDKDC_01,TBI_CT_LOAI_DCL.00032,PB-500842,NULL,DCL_TT_CDDRNNQBMCD_01,TBI_TT_DCL_KIEU_CD.10001,TBI_TT_DCL_Bo_truyen_dong_03
0110D00_DCL,USING,HSX.00051,2007,TB040.00141,TB0632,TBI_CT_DCL_KIEU_DCL.50002,EVN.PHA_3P,PB-100024,PB-100044,PB-100062,PB-100048,PB-100056,DCL_TT_NTDCTDVDKDC_01,TBI_CT_LOAI_DCL.00032,PB-500842,NULL,DCL_TT_CDDRNNQBMCD_01,TBI_TT_DCL_KIEU_CD.10001,TBI_TT_DCL_Bo_truyen_dong_03
0110D00_DCL,USING,HSX.00466,1999,TB040.00141,TB0632,TBI_CT_DCL_KIEU_DCL.50003,EVN.PHA_3P,PB-100024,PB-100044,PB-100062,PB-100051,PB-100056,DCL_TT_NTDCTDVDKDC_01,TBI_CT_LOAI_DCL.00008,PB-500842,NULL,NULL,TBI_TT_DCL_KIEU_CD.10001,TBI_TT_DCL_Bo_truyen_dong_03
0110D00_DCL,USING,HSX.00466,1999,TB040.00141,TB0632,TBI_CT_DCL_KIEU_DCL.50003,EVN.PHA_3P,PB-100024,PB-100044,PB-100062,PB-100051,PB-100056,DCL_TT_NTDCTDVDKDC_01,TBI_CT_LOAI_DCL.00008,PB-500842,NULL,NULL,TBI_TT_DCL_KIEU_CD.10001,TBI_TT_DCL_Bo_truyen_dong_03
0110D00_DCL,USING,HSX.00466,2000,TB040.00141,TB0632,TBI_CT_DCL_KIEU_DCL.50002,EVN.PHA_3P,PB-100024,PB-100044,PB-100062,PB-100051,PB-100056,DCL_TT_NTDCTDVDKDC_01,TBI_CT_LOAI_DCL.00008,PB-500842,NULL,NULL,TBI_TT_DCL_KIEU_CD.10001,TBI_TT_DCL_Bo_truyen_dong_03
0110D00_DCL,USING,HSX.00571,1999,TB040.00002,TB0632,TBI_CT_DCL_KIEU_DCL.50002,EVN.PHA_3P,PB-100024,PB-100045,PB-100062,PB-100051,PB-100056,DCL_TT_NTDCTDVDKDC_01,TBI_CT_LOAI_DCL.00028,PB-500842,NULL,NULL,TBI_TT_DCL_KIEU_CD.10001,TBI_TT_DCL_Bo_truyen_dong_03
0110D00_DCL,USING,HSX.00051,2009,TB040.00141,TB0632,TBI_CT_DCL_KIEU_DCL.50002,EVN.PHA_3P,PB-100024,PB-100044,PB-100062,PB-100051,PB-100056,DCL_TT_NTDCTDVDKDC_01,TBI_CT_LOAI_DCL.00032,PB-500842,NULL,NULL,TBI_TT_DCL_KIEU_CD.10001,TBI_TT_DCL_Bo_truyen_dong_03
0110D00_DCL,USING,HSX.00051,2009,TB040.00141,TB0632,TBI_CT_DCL_KIEU_DCL.50003,EVN.PHA_3P,PB-100024,PB-100044,PB-100062,PB-100051,PB-100056,DCL_TT_NTDCTDVDKDC_01,TBI_CT_LOAI_DCL.00032,PB-500842,NULL,NULL,TBI_TT_DCL_KIEU_CD.10001,TBI_TT_DCL_Bo_truyen_dong_03
0110D00_DCL,USING,HSX.00051,2014,TB040.00141,TB0632,TBI_CT_DCL_KIEU_DCL.50002,EVN.PHA_3P,PB-100024,PB-100044,PB-100062,PB-100051,PB-100056,DCL_TT_NTDCTDVDKDC_01,TBI_CT_LOAI_DCL.00032,PB-500842,NULL,NULL,TBI_TT_DCL_KIEU_CD.10001,TBI_TT_DCL_Bo_truyen_dong_03
